id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
od1,"Augsburg, Staats- und Stadtbibliothek, 8° Cod. 39",1478,Dominikaner,"Augsburg, Staats- und Stadtbibliothek",Andachtsbuch,"15. Jh., 3. Drittel (MH-Teil 1478)","evtl. St. Katharina, Augsburg, Dominikanerinnen","200r-203v:  I, 47",,http://www.handschriftencensus.de/19827,"Trede, Juliane/Gehrt, Wolf: Die Handschriften der Staats- und Stadtbibliothek Augsburg. 8° Cod 1-232 
(Handschriftenkataloge der Staats- und Stadtbibliothek Augsburg VIII), Wiesbaden 2011, S. 108-113.",–,,,20.00,10.89750,48.36470
od2,"Augsburg, Universitätsbibliothek, Cod. I.3.8° 7",1490,Benediktiner,"Augsburg, Universitätsbibliothek",Passionen der Evangelien und dazugehörige Gebete,Ende 15. Jh.,"wsl. Medlingen (Obermedlingen), Dominikanerinnen","178r-184v  I, 19e",,http://www.handschriftencensus.de/11309,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a132_jpg.htm,–,,,,10.32100,48.56830
od3,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 24",1475,Zisterzienser,"Augsburg, Universitätsbibliothek","Privatbuch einer Nonne mit Predigten, Gebeten und erbaulichen Kurztexten","15. Jh., 3. Drittel","Kirchheim am Ries, Zisterzienserinnen","151r-152v  III, 29",,http://www.handschriftencensus.de/11222,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a481_jpg.htm,–,,,,10.39720,48.87700
od4a,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 31",1484,Dominikaner,"Augsburg, Universitätsbibliothek","Sammelhandschrift, v.a. Gebete, aber auch Seuse und Ebner",14./15. Jh. (Mechthild-Teil 1484-92) einer jüngeren Medinger Hs. (dort auch der Mechthild-Teil entstanden) sind mehrere ältere Faszikel beigebunden (u.a. f. 240),"später Kirchheim am Ries, Zisterzienserinnen","52v-54r:  I, 18 (nur 1. Teil, erweitert)
94r-v: I, 47 (Gebetsform, verändert)
240r-v: I, 47","Mechthild-Abschnitt f. 53v verweist auf ein 
weiteres Gebet auf f. 67r (thematischer Bezug) 
-> die Auslegung zu Beginn jedoch nicht identifizert
Auf 94v: Verweis auf Felix (Fabri?) „Lesemeister zu Ulm“gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 48, 25v-27r
Augsburg, UB, Cod. III.1.8° 50, 115r-116v ",http://www.handschriftencensus.de/6046,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a518_jpg.htm,–,,,,10.43652,48.63240
od4b,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 31",1600,Zisterzienser,"Augsburg, Universitätsbibliothek","Sammelhandschrift, v.a. Gebete, aber auch Seuse und Ebner",14./15. Jh. (Mechthild-Teil 1484-92) einer jüngeren Medinger Hs. (dort auch der Mechthild-Teil entstanden) sind mehrere ältere Faszikel beigebunden (u.a. f. 240),"später Kirchheim am Ries, Zisterzienserinnen","52v-54r:  I, 18 (nur 1. Teil, erweitert)
94r-v: I, 47 (Gebetsform, verändert)
240r-v: I, 47","Mechthild-Abschnitt f. 53v verweist auf ein 
weiteres Gebet auf f. 67r (thematischer Bezug) 
-> die Auslegung zu Beginn jedoch nicht identifizert
Auf 94v: Verweis auf Felix (Fabri?) „Lesemeister zu Ulm“gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 48, 25v-27r
Augsburg, UB, Cod. III.1.8° 50, 115r-116v ",http://www.handschriftencensus.de/6046,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a518_jpg.htm,–,,,,10.39720,48.87700
od5a,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 48",1475,Dominikaner,"Augsburg, Universitätsbibliothek","Gebetbuch, u.a. mit Texten von Otto von Passau, Marquard von Lindau und Birgitta von Schweden","15. Jh., 2. Hälfte","Maria Medingen, Dominikanerinnen; später Kirchheim am Ries, Zisterzienserinnen","25v-27r: I, 47","gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 31, 94r-v
Augsburg, UB, Cod. III.1.8° 50, 115r-116v",http://www.handschriftencensus.de/11241,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a620_jpg.htm,–,,,,10.43652,48.63240
od5b,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 48",1600,Zisterzienser,"Augsburg, Universitätsbibliothek","Gebetbuch, u.a. mit Texten von Otto von Passau, Marquard von Lindau und Birgitta von Schweden","15. Jh., 2. Hälfte","Maria Medingen, Dominikanerinnen; später Kirchheim am Ries, Zisterzienserinnen","25v-27r: I, 47","gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 31, 94r-v
Augsburg, UB, Cod. III.1.8° 50, 115r-116v",http://www.handschriftencensus.de/11241,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a620_jpg.htm,–,,,,10.39720,48.87700
od6a,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 50",1525,Dominikaner,"Augsburg, Universitätsbibliothek","Gebetbuch, u.a. mit Texten von Otto von Passau, Marquard von Lindau","16. Jh., 2. Viertel","wsl. Maria Medingen, Dominikanerinnen; später Kirchheim am Ries, Zisterzienserinnen","113r-116v: I, 47 (2x, zuerst wie in Edition, dann in Gebetsform)"""," gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 31, 94r-v
Augsburg, UB, Cod. III.1.8° 48, 25v-27r

",http://www.handschriftencensus.de/11243,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a639_jpg.htm,–,,,25.00,10.43652,48.63240
od6b,"Augsburg, Universitätsbibliothek, Cod. III.1.8° 50",1600,Zisterzienser,"Augsburg, Universitätsbibliothek","Gebetbuch, u.a. mit Texten von Otto von Passau, Marquard von Lindau","16. Jh., 2. Viertel","wsl. Maria Medingen, Dominikanerinnen; später Kirchheim am Ries, Zisterzienserinnen","113r-116v: I, 47 (2x, zuerst wie in Edition, dann in Gebetsform)"""," gleiche Gebetsfassung in: 
Augsburg, UB, Cod. III.1.8° 31, 94r-v
Augsburg, UB, Cod. III.1.8° 48, 25v-27r

",http://www.handschriftencensus.de/11243,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0148_a639_jpg.htm,–,,,,10.39720,48.87700
od7,"Basel, Universitätsbibliothek, Cod. A VIII 51",1460,Kartäuser,"Basel, Universitätsbibliothek",Gebet- und Andachtsbuch,um 1460,Privatgebetbuch der Margret Zschampi; später Kartause Basel,"38r-44r: IV, 56 (1. Teil); V, 6; I, 18d (1. Abschnitt); V, 6; IV, 56 (2. Teil, ohne letzten Abschnitt)",,http://www.handschriftencensus.de/7364 ,"https://archive.org/stream/p1diehandschrift01univuoft#page/106/mode/1up
http://www.eckhart.de/Textzeugen/basel.htm#Ba8
https://aleph.unibas.ch/F/?local_base=DSV05&con_lng=GER&func=find-b&find_code=SYS&request=000116912",http://www.e-codices.unifr.ch/de/list/one/ubb/A-VIII-0051 ,,,,7.59760,47.55850
od8,"Basel, Universitätsbibliothek, Cod. B XI 19",1475,Sonstiges,"Basel, Universitätsbibliothek",Gebet- und Andachtsbuch,2. Hälfte 15. Jh.,Kartause Basel (Andachtsbuch des Laienbruders Hans Lesser),"127r-v und 136v-137r: I, 5d (Teil) (doppelt, jedoch mit Varianten in der Schreibweise)",,"http://www.handschriftencensus.de/7941
",http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0503b_b1028_jpg.htm,–,,,,7.59760,47.55850
