id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
md1,"Berlin, Staatsbibliothek, Ms. germ. oct. 328",1500,Franziskaner,"Berlin, Staatsbibliothek","Gebet- und Andachtsbuch; Predigten, geistl. Kurztexte",Ende 15. Jh./Anf. 16. Jh.,"niederrheinisch, evtl. Aachen, Franziskaner","87r-88v: III, 2 
238v-245r: IV, 22, 30; III, 23b; IV, 38, 58; III, 32 
262v-266r: IV, 7; V, 15; III, 29; IV, 7",,http://handschriftencensus.de/4581,"http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b103_jpg.htm
http://pik.ku-eichstaett.de/543/",,,,3.00,6.08380,50.77560
md2,"Berlin, Staatsbibliothek, Ms. germ. oct. 560",1505,Augustiner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,1505,"Groß-Frankenthal, Augustinerchorherrenstift","31r-36v: I, 19e 
90r-v: V, 6",,http://www.handschriftencensus.de/9335,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b186_jpg.htm,,"mitteldeutsch; vom Schreiber Niclas Numan 
für Nonnen geschrieben;
bei Zieger unter den oberdeutschen Hss. eingereiht",,,8.35530,49.53540
md3,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 233",1525,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,ca. 1525,"St. Maria Magdalena, Köln, 
Augustinerinnen","115r-118v: I, 19d+e 
179r-180v: I, 47",,http://handschriftencensus.de/18087,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b250_jpg.htm,,,,,6.96390,50.92470
md4,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 237",1495,Unbekannt,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,ca. 1495,"Frauenkloster, Köln","109r: I, 43 (gekürzt)",,http://handschriftencensus.de/18076,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b179_jpg.htm,,,,6.00,6.95460,50.94310
md5,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 247",1525,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,ca. 1525,"St. Maria Magdalena, Köln, 
Augustinerinnen","120r-124v: I, 19d+e",,http://handschriftencensus.de/18089,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b209_jpg.htm,,,,,6.96390,50.92470
md6,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 712",1525,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,ca. 1525,"St. Maria Magdalena, Köln, 
Augustinerinnen","138r-142r: I, 19d+e (Fragment) 
282r-284r: I, 47",,http://handschriftencensus.de/18092,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b271_jpg.htm,,,,,6.96390,50.92470
md7,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 1001",1510,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,1510,"St. Maria Magdalena, Köln, 
Augustinerinnen","294v-295r: I, 47",,http://handschriftencensus.de/18098,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b267_jpg.htm,http://tudigit.ulb.tu-darmstadt.de/show/Hs-1001,,,,6.96390,50.92470
md8,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 1843",1510,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Andachten für die Feste des Kirchenjahres,ca. 1510,"St. Maria Magdalena, Köln, 
Augustinerinnen (?)","62v-63v: I, 5d",,http://handschriftencensus.de/18115,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b196_jpg.htm,,,,,6.96390,50.92470
md9,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 1844",1510,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Gebete und Andachten,ca. 1510,"St. Caecilia, Köln, 
Regular-Augustinerinnen","151v-153r: I, 5d (Exzerpt)",,http://handschriftencensus.de/18116,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b284_jpg.htm,,,,,6.95190,50.93560
md10,"Darmstadt, Universitäts- und Landesbibliothek, Hs. 1864",1520,Augustiner,"Darmstadt, Universitäts- und Landesbibliothek",Andachten für die Feste des Kirchenjahres,ca. 1520,"St. Maria Magdalena, Köln, 
Augustinerinnen","70v-71v: I, 5d (Exzerpt)",,http://handschriftencensus.de/18125,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0012_b198_jpg.htm,,,,,6.96390,50.92470
