id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
nd1,"Amsterdam, Universitätsbibliothek, Cod. I E 34",1420,Sonstiges,"Amsterdam, Universitätsbibliothek","Sammelhandschrift; MH als Haupttext, Traktate",1. Hälfte 15. Jh.,"Heusden, Drittordensschwestern",1r-74r: Exzerpte,Mechthild als Zisterzienserin (vgl. Bromberg S. 191),http://handschriftencensus.de/19701,,,,,1.00,5.16080,51.72880
nd2,"Amsterdam, Universitätsbibliothek, Cod. I F 1",1510,Sonstiges,"Amsterdam, Universitätsbibliothek","Mirakel, Exempelsammlung",1. Viertel 16. Jh. ,"Heusden, Drittordensschwestern","1r-79v: I, 29",,http://www.handschriftencensus.de/25347,"Stooker / Verbeij, Bd. II, S. 214 (Nr. 646)",,,,1.00,5.16080,51.72880
nd3,"Berlin, Staatsbibliothek, Ms. germ. oct. 253",1500,Unbekannt,"Berlin, Staatsbibliothek",Horen- und Gebetbuch,15./Anf. 16. Jh.,Niederdeutschland,"515v-524v: I, 5d (Teil), 19d, e, 23",,http://handschriftencensus.de/9229,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b085_jpg.htm,,,,175.00,10.11500,52.62930
nd4,"Berlin, Staatsbibliothek, Ms. germ. oct. 278",1505,Augustiner,"Berlin, Staatsbibliothek",Andachts- und Gebetbuch,16. Jh.,"Badersleben, Augustiner-Eremitinnen","182v: I, 47",,http://handschriftencensus.de/9236,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b094_jpg.htm,,,,0.20,10.88840,51.98470
nd5,"Berlin, Staatsbibliothek, Ms. germ. oct. 326",1405,Unbekannt,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,15. Jh.,Niederrhein,"109r-111r: I, 47",,http://handschriftencensus.de/9246,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b102_jpg.htm,,,,40.00,6.55720,51.35270
nd6,"Berlin, Staatsbibliothek, Ms. germ. oct. 330",1405,Unbekannt,"Berlin, Staatsbibliothek",Andachts- und Gebetbuch,15. Jh.,Niederrhein,"518r-v: V, 6 (1. Teil)",,http://handschriftencensus.de/9248,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b111_jpg.htm,,,,40.00,6.55720,51.35270
nd7,"Berlin, Staatsbibliothek, Ms. germ. oct. 380",1405,Augustiner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,15. Jh.,"Niederrhein, Augustinerinnenkonvent","230r-231r: I, 34c",Von Degering Mechthild von Magdeburg zugeschrieben,http://handschriftencensus.de/4175,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b129_jpg.htm,,,,40.00,6.55720,51.35270
nd8,"Berlin, Staatsbibliothek, Ms. germ. oct. 396",1500,Benediktiner,"Berlin, Staatsbibliothek",Gebet- und Andachtsbuch,15. Jh./16. Jh.,"Vinnenberg, Benediktinerinnen","170r-172v: I, 19e 
307v-309v: II, 2","Zahlreiche Besitzeinträge, u.a. ""Ermengardt Demuth""",http://handschriftencensus.de/4176,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b136_jpg.htm,,,,0.10,7.96810,52.02760
nd9,"Berlin, Staatsbibliothek, Ms. germ. qu. 1081",1420,Unbekannt,"Berlin, Staatsbibliothek",MH als Haupttext; ansonsten eine Geisterbeschwörung,1446,–,1ra-156rb: I-V,,http://handschriftencensus.de/11919,"http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603b_b181_jpg.htm
https://archive.org/stream/jahrbuchdesvere06spragoog#page/n23/mode/2up",,,,200.00,10.87960,53.03540
nd10,"Bonn, Universitätsbibliothek, Cod. S 302",1475,Unbekannt,"Bonn, Universitätsbibliothek",MH als Haupttext; Mechthild von Schottland-Legende,1464,Rhein-Maas-Gebiet,1r-197r: I-V,,http://handschriftencensus.de/12818,https://digital.ub.uni-duesseldorf.de/ihd/content/pageview/4041555,,,,15.00,6.32540,51.52100
nd11,"Brüssel, Bibliothèque Royale, ms. 388",1450,Augustiner,"Brüssel, Bibliothèque Royale",Legenda aurea und Legenden,ca. 1450,Laienbrüderbibliothek des Regularkanonikerpriorats Rooklooster in Oudergem,"59vb-60va: I, 6a-c",,http://handschriftencensus.de/16384,http://www.archive.org/stream/cataloguedesmanu05brusuoft#page/398/mode/2up,,,,,4.44340,50.81370
nd12,"Brüssel, Bibliothèque Royale, ms. 3040",1405,Dominikaner,"Brüssel, Bibliothèque Royale",Stundenbuch,15. Jh.,"Mechelen, Dominikaner (?)","1v-2v: I, 47",,http://handschriftencensus.de/23945,"http://www.archive.org/stream/cataloguedesmanu01brusuoft#page/490/mode/2up
Stooker/Verbeij, II, S. 307 (Nr. 917).",,,,2.00,4.48030,51.02940
nd13,"Brüssel, Bibliothèque Royale, ms. 4407-08",1505,Unbekannt,"Brüssel, Bibliothèque Royale",Gebetbuch,16. Jh.,Dendermonde,"116r-v: I, 43",,–,"Stooker/Verbeij, II, S. 109 (Nr. 303).",,,,2.00,4.10510,51.02870
nd14,"Brüssel, Bibliothèque Royale, ms. 10763-64",1505,Unbekannt,"Brüssel, Bibliothèque Royale","Gebetbuch, Sammelhandschrift",16. Jh.,–,91r-93v: Exzerpt,,–,http://www.archive.org/stream/cataloguedesmanu01brusuoft#page/556/mode/2up,,,,200.00,10.72960,53.03640
nd15,"Brüssel, Bibliothèque Royale, ms. 11171",1415,Unbekannt,"Brüssel, Bibliothèque Royale",Gebetbuch (?),1. Hälfte 15. Jh.,Nord-/Ost-Brabant,"123r-v (?): I, 19e",,http://handschriftencensus.de/21591,"Maria Meertens, De Godsvrucht in de Nederlanden, Teil VI, S. 44-54 (Nr. 14).",,,,15.00,5.53980,51.61650
nd16,"Brüssel, Bibliothèque Royale, ms. 11231-36",1530,Franziskaner,"Brüssel, Bibliothèque Royale",Gebet- und Andachtsbuch,ca. 1530,"St. Andreas, Maagdendries 
(bei Maastricht)","212v-230v: III (I?), 17, III (I?), 36; II, 
32, 27; III, 19; IV, 58; II, 36; III, 48; 
IV, 23; IV, 24, 25, 26, 28, 29, 30,
 32a+b, 35
","von Zieger auf 1476 datiert; Zieger geht am Anfang von Buch III aus, Stooker/Verbeij von Buch I; Kapitelangabe weicht von der Edition ab",http://handschriftencensus.de/20806,"Stooker / Verbeij, Bd. II, S. 297f. (Nr. 892)",,,,,5.68910,50.85470
