name,long,lat
"Amsterdam, Universitätsbibliothek",4.88980,52.36810
"Augsburg, Staats- und Stadtbibliothek",10.89060,48.36950
"Augsburg, Universitätsbibliothek",10.89510,48.33460
"Avignon, Bibliothèque Municipale",4.81100,43.94710
"Basel, Universitätsbibliothek",7.58130,47.55950
"Berlin, Staatsbibliothek",13.37100,52.50760
"Beuron, Bibliothek der Erzabtei",8.96850,48.05050
"Bonn, Universitätsbibliothek",7.10850,50.73120
"Brüssel, Bibliothèque Royale",4.35690,50.84320
"Budapest, National Széchényi Library",19.03890,47.49570
"Cambrai, Bibliothèque Municipale",3.23440,50.17350
"Cambridge, Peterhouse",0.11880,52.20040
"Cambridge, University Library",0.10850,52.20510
"Charleville-Mézieres, Bibliothèque Municipale",4.72250,49.76110
"Colmar, Bibliothèque Municipale",7.36120,48.07630
"Darmstadt, Universitäts- und Landesbibliothek",8.65770,49.87600
"Den Haag, Königliche Bibliothek",4.32870,52.08130
"Dessau, Landesbücherei",12.24830,51.83600
"Dresden, Landesbibliothek",13.73800,51.02920
"Durham, University Library",-1.57490,54.77500
"Dublin, Royal Academy",-6.25800,53.34090
"Dublin, Trinity College",-6.25590,53.34410
"Düsseldorf, Landes- und Staatsbibliothek",6.79520,51.18830
"Ebstorf, Klosterbibliothek",10.41250,53.03050
"Eisleben, Stiftung Luthergedenkstätten",11.54470,51.52820
"Erlangen, Universitätsbibliothek",11.00710,49.59900
"Frankfurt, Universitätsbibliothek",8.66890,50.12570
"Freiburg i. Br., Erzbischöfliches Archiv",7.85630,47.99500
"Freiburg i. Br., Stadtarchiv",7.85160,47.99450
"Freiburg i. Br., Universitätsbibliothek",7.84520,47.99460
"Fribourg, Bibliothèque des Cordeliers",7.16100,46.80750
"Gent, Universitätsbibliothek",3.72490,51.04580
"Gießen, Universitätsbibliothek",8.69520,50.57660
"Gotha, Forschungsbibliothek der Universität Erfurt",10.71380,50.94650
"Göttingen, Staats- und Universitätsbibliothek",9.93650,51.53960
"Graz, Universitätsbibliothek",15.45070,47.07840
"Greifswald, Universitätsbibliothek",13.40640,54.09070
"Halle, Universitäts- und Landesbibliothek",11.97070,51.48960
"Hamburg, Staats- und Universitätsbibliothek",9.98520,53.56470
"Heidelberg, Universitätsbibliothek",8.70590,49.40990
"Hildesheim, Stadtarchiv",9.94340,52.14980
"Hohenfurt / Vyšší Brod (Böhmen), Stiftsbibliothek",14.30490,48.62140
"Innsbruck, Universitäts- und Landesbibliothek",11.38620,47.26380
"Karlsruhe, Badische Landesbibliothek",8.39940,49.00830
"Katwijk, R.K. Gymnasium",5.85850,51.75200
"Koblenz, Landeshauptarchiv",7.60280,50.35920
"Köln, Historisches Archiv der Stadt",6.93960,50.92400
"Köln, Kolumba Kunstmuseum",6.95450,50.93880
"Kopenhagen, Arnamagnæanske Institut",12.59140,55.66210
"Kopenhagen, Königliche Bibliothek",12.58250,55.67350
"Leeuwarden, Provinciale Bibliotheek",5.80030,53.19980
"Leiden, Universitätsbibliothek",4.48500,52.15700
"Leipzig, Universitätsbibliothek",12.36700,51.33280
"Leuven/Löwen, Universitätsbibliothek",4.70730,50.87820
"London, British Museum",-0.12690,51.51950
"London, British Library",-0.12730,51.53010
"Lübeck, Stadtbibliothek",10.69020,53.86860
"Lund, Universitätsbibliothek",13.19710,55.70930
"Mainz, Martinus-Bibliothek",8.27450,49.99780
"Mainz, Stadtbibliothek",8.26960,50.00860
"München, Bayerische Staatsbibliothek",11.58070,48.14770
"München, Universitätsbibliothek",11.58130,48.15020
"Münster, Universitäts- und Landesbibliothek",7.62290,51.96350
"Namur, Musée Provincial des Arts anciens du Namurois",4.86620,50.46570
"New Haven (Conn.), Beinecke Rare Book Library",-72.92690,41.31150
"Nimwegen / Nijmegen, Universitätsbibliothek",5.86530,51.81980
"Nürnberg, Germanisches Nationalmuseum",11.07630,49.44830
"Nürnberg, Stadtbibliothek",11.08380,49.45200
"Osnabrück, Gymnasium Carolinum",8.04620,52.27810
"Oxford, Bodleian Library",-1.25370,51.75420
"Paderborn, Erzbischöfliche Bibliothek",8.75480,51.71430
"Paris, Bibliothèque Nationale",2.37910,48.83290
"Prag, Národní knihovna České republiky",14.41780,50.08730
"Rostock, Universitätsbibliothek",12.13600,54.08720
"Rotterdam, Gemeentebibliotheek",4.48910,51.92110
"Salzburg, Stiftsbibliothek St. Peter",13.04490,47.79780
"Sankt Gallen, Stiftsbibliothek",9.37710,47.42330
"Solothurn, Zentralbibliothek",7.53060,47.21000
"Strasbourg, Bibliothèque Nationale et Universitaire",7.75600,48.58730
"Stockholm, Kungliga Biblioteket",18.07200,59.33820
"St. Petersburg, Bibliothek der Russischen Akademie der Wissenschaften",30.29720,59.94390
"Stuttgart, Württembergische Landesbibliothek",9.18560,48.77790
"Toledo, Biblioteca Capitulares (Kathedralbibliothek)",-4.02300,39.85730
"Trier, Stadtbibliothek",6.64181,49.75160
"Uppsala, Carolina Rediviva (Universitätsbibliothek)",17.63200,59.85520
"Utrecht, Museum Catharijneconvent",5.12400,52.08730
"Utrecht, Universiteitsbibliotheek",5.13120,52.09590
"Vorau, Stiftsbibliothek",15.89020,47.40170
"Warschau, Nationalbibliothek",21.00340,52.21370
"Weingarten, Klosterbibliothek",9.64530,47.80930
"Wien, Österreichische Nationalbibliothek",16.36690,48.20640
"Wittem, Bibliothek des Redemptoristenklosters",5.91190,50.81380
"Wolfenbüttel, Herzog August Bibliothek",10.53100,52.16430
"Würzburg, Universitätsbibliothek",9.96900,49.78270
"Zürich, Zentralbibliothek",8.54540,47.37600
